,TRACT,Estimated.Median.Family.Income,Less.Than.High.School,High.School,Some.College,College.Graduate,Graduate.School,Educational.Attainment.Score,X..of.Single.Parent.Households,X..of.Owner.Occupied.Homes,X..of.Population.Speaking.a.Language.Other.than.English,Weighted.Average.ISAT.Performance.at.Attendance.Area.Schools,Number.of.School.Age.Children,Estimated.Median.Family.Income.Cumulative.Percentage,Educational.Attainment.Score.Cumulative.Percentage,X..of.Single.Parent.Households.Cumulative.Percentage,X..of.Owner.Occupied.Homes.Cumulative.Percentage,X..of.Population.Speaking.a.Language.Other.than.English.Cumulative.Percentage,Weighted.Average.ISAT.Performance.at.Attendance.Area.Schools.Cumulative.Percentage,X6.Factor.Socioeconomic.Score,X6.Factor.Socioeconomic.Tier,income,educ,single,owner,english,isat,tracta,factorsocioeconomictier
270,2301,31029,637,201,110,25,26,0.32,0.51,0.32,0.72,0.74,299,0.16,0.03,0.37,0.24,0.21,0.31,0.2211,1,NA,0.03,0.51,0.24,0.72,0.74,230100,1
271,2302,35175,650,318,161,34,0,0.33,0.49,0.32,0.72,0.65,430,0.23,0.05,0.37,0.24,0.21,0.11,0.2029,1,NA,0.05,0.49,0.24,0.72,0.65,230200,1
272,2303,37890,366,94,81,9,0,0.3,0.52,0.27,0.87,0.66,235,0.27,0.01,0.36,0.14,0.03,0.15,0.1609,1,NA,0.01,0.52,0.14,0.87,0.66,230300,1
273,2304,36082,918,324,166,50,34,0.33,0.43,0.46,0.85,0.65,625,0.24,0.05,0.41,0.55,0.05,0.11,0.235,1,NA,0.05,0.43,0.55,0.85,0.65,230400,1
274,2305,38900,"1,110",502,250,126,32,0.35,0.47,0.25,0.78,0.73,806,0.31,0.11,0.38,0.11,0.13,0.3,0.2226,1,NA,0.11,0.47,0.11,0.78,0.73,230500,1
275,2306,33628,"1,961","1,014",680,110,17,0.35,0.53,0.29,0.53,0.72,"1,592",0.2,0.11,0.36,0.18,0.38,0.28,0.2508,1,NA,0.11,0.53,0.18,0.53,0.72,230600,1
276,2307,39971,"2,093",844,551,85,53,0.33,0.46,0.36,0.75,0.71,"1,351",0.34,0.05,0.39,0.33,0.19,0.26,0.2595,1,NA,0.05,0.46,0.33,0.75,0.71,230700,1
277,2308,35503,519,121,116,7,18,0.31,0.36,0.52,0.82,0.7,277,0.24,0.03,0.54,0.64,0.08,0.24,0.2952,1,NA,0.03,0.36,0.64,0.82,0.7,230800,1
278,2309,28098,"1,769",597,644,114,68,0.36,0.57,0.3,0.71,0.74,"1,053",0.12,0.14,0.33,0.21,0.22,0.31,0.2207,1,NA,0.14,0.57,0.21,0.71,0.74,230900,1
279,2311,31888,309,178,201,32,0,0.39,0.66,0.42,0.12,0.72,261,0.17,0.23,0.26,0.47,0.65,0.28,0.3458,2,NA,0.23,0.66,0.47,0.12,0.72,231100,2
280,2312,32039,"1,095","1,183",803,136,98,0.42,0.7,0.33,0.16,0.72,"1,307",0.18,0.39,0.23,0.27,0.63,0.28,0.3289,2,NA,0.39,0.7,0.27,0.16,0.72,231200,2
281,2315,38635,"1,599","1,049",734,111,59,0.37,0.75,0.31,0.02,0.77,"1,267",0.3,0.16,0.17,0.22,0.94,0.38,0.3613,2,NA,0.16,0.75,0.22,0.02,0.77,231500,2
282,2402,53255,198,74,221,384,176,0.65,0.2,0.52,0.35,0.87,89,0.64,0.94,0.9,0.64,0.51,0.86,0.7477,4,NA,0.94,0.2,0.64,0.35,0.87,240200,4
283,2403,130074,92,109,205,386,251,0.71,0.24,0.42,0.17,0.87,93,0.98,0.97,0.83,0.47,0.62,0.86,0.7874,4,NA,0.97,0.24,0.47,0.17,0.87,240300,4
284,2405,97761,99,95,234,980,462,0.77,0.13,0.65,0.24,0.82,84,0.95,0.98,0.98,0.79,0.58,0.63,0.8179,4,NA,0.98,0.13,0.79,0.24,0.82,240500,4
285,2406,46295,487,163,167,79,26,0.38,0.32,0.52,0.72,0.77,172,0.49,0.2,0.62,0.64,0.21,0.38,0.4236,2,NA,0.2,0.32,0.64,0.72,0.77,240600,2
286,2407,25571,534,154,179,70,30,0.37,0.48,0.29,0.78,0.77,312,0.08,0.16,0.37,0.18,0.13,0.38,0.2158,1,NA,0.16,0.48,0.18,0.78,0.77,240700,1
287,2408,42200,446,274,238,87,38,0.41,0.47,0.27,0.68,0.77,270,0.39,0.34,0.38,0.14,0.24,0.38,0.3102,1,NA,0.34,0.47,0.14,0.68,0.77,240800,1
288,2409,27036,291,207,153,110,50,0.46,0.5,0.25,0.69,0.71,192,0.09,0.54,0.37,0.11,0.23,0.26,0.2681,1,NA,0.54,0.5,0.11,0.69,0.71,240900,1
289,2410,28667,613,325,219,105,45,0.39,0.7,0.26,0.57,0.71,364,0.13,0.23,0.23,0.13,0.35,0.26,0.2213,1,NA,0.23,0.7,0.13,0.57,0.71,241000,1
290,2411,25476,957,711,404,273,147,0.43,0.58,0.29,0.62,0.69,472,0.08,0.43,0.32,0.18,0.29,0.22,0.2536,1,NA,0.43,0.58,0.18,0.62,0.69,241100,1
291,2412,56204,355,128,229,231,203,0.56,0.27,0.33,0.46,0.78,128,0.69,0.84,0.77,0.27,0.43,0.43,0.5723,3,NA,0.84,0.27,0.27,0.46,0.78,241200,3
292,2413,66965,201,169,206,483,305,0.68,0.32,0.38,0.37,0.81,114,0.83,0.95,0.62,0.39,0.49,0.58,0.6451,4,NA,0.95,0.32,0.39,0.37,0.81,241300,4
293,2414,69192,494,336,779,"1,126",716,0.67,0.25,0.33,0.29,0.8,236,0.86,0.95,0.8,0.27,0.55,0.54,0.6609,4,NA,0.95,0.25,0.27,0.29,0.8,241400,4
294,2415,98817,604,350,305,646,328,0.58,0.22,0.36,0.45,0.84,159,0.95,0.87,0.87,0.33,0.44,0.75,0.7017,4,NA,0.87,0.22,0.33,0.45,0.84,241500,4
295,2416,58509,828,540,393,451,278,0.5,0.38,0.26,0.59,0.82,244,0.73,0.71,0.49,0.13,0.33,0.63,0.501,3,NA,0.71,0.38,0.13,0.59,0.82,241600,3
296,2420,40590,"1,517",479,650,599,230,0.46,0.36,0.24,0.48,0.76,363,0.36,0.54,0.54,0.1,0.42,0.35,0.3834,2,NA,0.54,0.36,0.1,0.48,0.76,242000,2
297,2421,73616,825,455,488,547,270,0.52,0.17,0.44,0.6,0.82,206,0.9,0.76,0.93,0.52,0.31,0.63,0.6737,4,NA,0.76,0.17,0.52,0.6,0.82,242100,4
298,2422,65112,650,393,368,825,395,0.59,0.18,0.38,0.47,0.85,225,0.81,0.87,0.93,0.39,0.42,0.78,0.7,4,NA,0.87,0.18,0.39,0.47,0.85,242200,4
299,2423,79233,495,369,476,834,396,0.62,0.23,0.35,0.43,0.87,179,0.92,0.91,0.85,0.31,0.46,0.86,0.7185,4,NA,0.91,0.23,0.31,0.43,0.87,242300,4
300,2424,54192,369,308,454,731,424,0.65,0.29,0.26,0.65,0.9,152,0.66,0.94,0.71,0.13,0.28,0.94,0.6104,3,NA,0.94,0.29,0.13,0.65,0.9,242400,3
301,2425,37211,767,625,471,431,154,0.48,0.37,0.31,0.72,0.85,374,0.26,0.64,0.52,0.22,0.21,0.78,0.4373,2,NA,0.64,0.37,0.22,0.72,0.85,242500,2
302,2426,29421,"1,719",891,681,583,162,0.43,0.5,0.29,0.71,0.72,720,0.14,0.43,0.37,0.18,0.22,0.28,0.269,1,NA,0.43,0.5,0.18,0.71,0.72,242600,1
303,2427,24327,638,273,178,67,57,0.37,0.53,0.26,0.55,0.7,383,0.07,0.16,0.36,0.13,0.36,0.24,0.2184,1,NA,0.16,0.53,0.13,0.55,0.7,242700,1
304,2428,68174,254,251,246,255,104,0.55,0.28,0.51,0.47,0.92,156,0.85,0.82,0.74,0.63,0.42,0.97,0.7373,4,NA,0.82,0.28,0.63,0.47,0.92,242800,4
305,2429,53009,250,195,307,290,237,0.61,0.29,0.41,0.51,0.85,140,0.64,0.91,0.71,0.46,0.4,0.78,0.6476,4,NA,0.91,0.29,0.46,0.51,0.85,242900,4
306,2430,38448,436,420,295,404,121,0.52,0.32,0.46,0.54,0.86,215,0.29,0.76,0.62,0.55,0.37,0.81,0.5668,3,NA,0.76,0.32,0.55,0.54,0.86,243000,3
307,2431,48736,687,246,272,212,114,0.45,0.28,0.44,0.62,0.87,240,0.54,0.51,0.74,0.52,0.29,0.86,0.5756,3,NA,0.51,0.28,0.52,0.62,0.87,243100,3
308,2432,79723,607,306,259,343,100,0.48,0.27,0.42,0.5,0.87,202,0.93,0.64,0.77,0.47,0.4,0.86,0.6777,4,NA,0.64,0.27,0.47,0.5,0.87,243200,4
309,2433,87863,454,416,269,445,166,0.54,0.24,0.34,0.52,0.82,190,0.94,0.79,0.83,0.29,0.38,0.63,0.6442,4,NA,0.79,0.24,0.29,0.52,0.82,243300,4
310,2434,31945,834,404,403,508,215,0.5,0.42,0.39,0.55,0.81,326,0.17,0.71,0.42,0.41,0.36,0.58,0.4415,2,NA,0.71,0.42,0.41,0.55,0.81,243400,2
311,2435,103556,309,227,429,853,506,0.69,0.4,0.51,0.25,0.83,189,0.96,0.95,0.46,0.63,0.58,0.7,0.7133,4,NA,0.95,0.4,0.63,0.25,0.83,243500,4
312,2502,53231,659,445,430,81,20,0.4,0.49,0.55,0.19,0.67,506,0.64,0.29,0.37,0.69,0.61,0.17,0.4623,3,NA,0.29,0.49,0.69,0.19,0.67,250200,3
313,2503,50905,999,760,905,96,87,0.43,0.58,0.42,0.1,0.7,979,0.59,0.43,0.32,0.47,0.67,0.24,0.4538,2,NA,0.43,0.58,0.47,0.1,0.7,250300,2
314,2504,49533,880,916,"1,468",328,98,0.48,0.63,0.44,0.11,0.75,"1,116",0.56,0.64,0.28,0.52,0.66,0.33,0.4972,3,NA,0.64,0.63,0.52,0.11,0.75,250400,3
315,2505,79443,811,"1,481","1,445",967,461,0.55,0.26,0.84,0.27,0.82,"1,235",0.92,0.82,0.78,0.94,0.56,0.63,0.7756,4,NA,0.82,0.26,0.94,0.27,0.82,250500,4
316,2506,57720,693,798,"1,044",144,45,0.46,0.58,0.64,0.03,0.72,808,0.71,0.54,0.32,0.78,0.86,0.28,0.5815,3,NA,0.54,0.58,0.78,0.03,0.72,250600,3
317,2507,45148,976,"1,124","1,441",118,57,0.45,0.71,0.37,0.05,0.69,"1,005",0.46,0.51,0.21,0.35,0.75,0.22,0.4182,2,NA,0.51,0.71,0.35,0.05,0.69,250700,2
318,2508,50454,548,412,384,100,46,0.42,0.61,0.53,0.06,0.63,502,0.58,0.39,0.3,0.66,0.71,0.06,0.4483,2,NA,0.39,0.61,0.66,0.06,0.63,250800,2
319,2510,57235,283,173,166,11,23,0.39,0.79,0.39,0.03,0.67,251,0.71,0.23,0.1,0.41,0.86,0.17,0.4144,2,NA,0.23,0.79,0.41,0.03,0.67,251000,2
320,2511,43741,891,785,773,74,50,0.41,0.83,0.31,0.05,0.68,839,0.42,0.34,0.04,0.22,0.75,0.19,0.3286,1,NA,0.34,0.83,0.22,0.05,0.68,251100,1
321,2512,47239,748,840,761,129,66,0.44,0.62,0.62,0.02,0.7,824,0.51,0.48,0.29,0.76,0.94,0.24,0.5377,3,NA,0.48,0.62,0.76,0.02,0.7,251200,3
322,2513,44787,930,889,936,157,69,0.44,0.74,0.43,0.02,0.66,948,0.45,0.48,0.18,0.5,0.94,0.15,0.4492,2,NA,0.48,0.74,0.5,0.02,0.66,251300,2
323,2514,44616,801,864,710,163,75,0.44,0.68,0.3,0.02,0.68,732,0.45,0.48,0.25,0.21,0.94,0.19,0.4187,2,NA,0.48,0.68,0.21,0.02,0.68,251400,2
324,2515,35245,"1,096",775,827,112,31,0.4,0.82,0.31,0.04,0.74,987,0.23,0.29,0.06,0.22,0.8,0.31,0.3201,1,NA,0.29,0.82,0.22,0.04,0.74,251500,1
325,2516,38251,923,543,560,61,35,0.39,0.78,0.42,0.02,0.7,768,0.28,0.23,0.12,0.47,0.94,0.24,0.3814,2,NA,0.23,0.78,0.47,0.02,0.7,251600,2
326,2517,45424,480,227,145,22,0,0.33,0.66,0.44,0.01,0.66,320,0.47,0.05,0.26,0.52,0.98,0.15,0.4041,2,NA,0.05,0.66,0.52,0.01,0.66,251700,2
327,2518,30404,"1,092","1,004",678,135,18,0.39,0.79,0.25,0.03,0.67,"1,128",0.15,0.23,0.1,0.11,0.86,0.17,0.2702,1,NA,0.23,0.79,0.11,0.03,0.67,251800,1
328,2519,26906,"1,531",958,682,65,59,0.37,0.81,0.21,0.05,0.75,"1,181",0.09,0.16,0.07,0.07,0.75,0.33,0.2448,1,NA,0.16,0.81,0.07,0.05,0.75,251900,1
329,2520,28955,"1,329",894,"1,055",213,18,0.41,0.76,0.15,0.05,0.71,999,0.13,0.34,0.15,0.03,0.75,0.26,0.2767,1,NA,0.34,0.76,0.03,0.05,0.71,252000,1
330,2521.01,25293,325,256,223,43,64,0.44,0.74,0.2,0.02,0.7,234,0.07,0.48,0.18,0.06,0.94,0.24,0.3288,1,NA,0.48,0.74,0.06,0.02,0.7,252101,1
331,2521.02,37906,"1,502",957,"1,106",260,46,0.41,0.78,0.34,0.03,0.68,"1,293",0.27,0.34,0.12,0.29,0.86,0.19,0.3453,2,NA,0.34,0.78,0.29,0.03,0.68,252102,2
332,2522.01,31050,735,675,435,102,94,0.42,0.74,0.41,0.03,0.67,427,0.16,0.39,0.18,0.46,0.86,0.17,0.3686,2,NA,0.39,0.74,0.46,0.03,0.67,252201,2
333,2522.02,44664,"1,070",746,703,118,77,0.41,0.81,0.27,0.03,0.67,928,0.45,0.34,0.07,0.14,0.86,0.17,0.3388,2,NA,0.34,0.81,0.14,0.03,0.67,252202,2
334,2601,9846,443,224,130,12,0,0.33,0.72,0.18,0,0.64,195,0.01,0.05,0.21,0.04,1,0.09,0.2317,1,NA,0.05,0.72,0.04,0,0.64,260100,1
335,2602,40920,210,217,146,23,29,0.42,0.75,0.3,0.04,0.63,242,0.37,0.39,0.17,0.21,0.8,0.06,0.3315,2,NA,0.39,0.75,0.21,0.04,0.63,260200,2
336,2603,27113,361,311,155,20,22,0.38,0.79,0.25,0.04,0.6,359,0.09,0.2,0.1,0.11,0.8,0.02,0.2218,1,NA,0.2,0.79,0.11,0.04,0.6,260300,1
337,2604,45703,399,218,115,16,8,0.34,0.81,0.27,0.01,0.68,260,0.47,0.08,0.07,0.14,0.98,0.19,0.3235,1,NA,0.08,0.81,0.14,0.01,0.68,260400,1
338,2605,33178,421,420,175,28,7,0.37,0.81,0.31,0.05,0.75,439,0.19,0.16,0.07,0.22,0.75,0.33,0.2881,1,NA,0.16,0.81,0.22,0.05,0.75,260500,1
339,2606,31068,506,461,295,36,22,0.39,0.77,0.31,0.06,0.73,534,0.16,0.23,0.14,0.22,0.71,0.3,0.2946,1,NA,0.23,0.77,0.22,0.06,0.73,260600,1
340,2607,27935,479,304,286,19,0,0.37,0.82,0.29,0.04,0.71,426,0.12,0.16,0.06,0.18,0.8,0.26,0.2631,1,NA,0.16,0.82,0.18,0.04,0.71,260700,1
341,2608,31751,661,476,267,74,27,0.38,0.76,0.22,0.02,0.73,553,0.17,0.2,0.15,0.08,0.94,0.3,0.3061,1,NA,0.2,0.76,0.08,0.02,0.73,260800,1
342,2609,31226,383,177,169,35,0,0.36,0.87,0.28,0.04,0.82,424,0.16,0.14,0.02,0.15,0.8,0.63,0.3161,1,NA,0.14,0.87,0.15,0.04,0.82,260900,1
343,2610,28209,421,494,362,46,84,0.44,0.79,0.37,0.07,0.79,479,0.12,0.48,0.1,0.35,0.69,0.48,0.3709,2,NA,0.48,0.79,0.35,0.07,0.79,261000,2
344,2705,15224,332,269,360,27,27,0.43,0.89,0.12,0.01,0.79,353,0.02,0.43,0.01,0.01,0.98,0.48,0.323,1,NA,0.43,0.89,0.01,0.01,0.79,270500,1
345,2712,33187,359,130,165,14,40,0.39,0.81,0.28,0.01,0.8,270,0.2,0.23,0.07,0.15,0.98,0.54,0.3626,2,NA,0.23,0.81,0.15,0.01,0.8,271200,2
346,2713,16962,291,172,96,0,12,0.34,0.83,0.19,0.01,0.67,260,0.02,0.08,0.04,0.05,0.98,0.17,0.2256,1,NA,0.08,0.83,0.05,0.01,0.67,271300,1
347,2714,31788,297,208,322,36,23,0.44,0.82,0.22,0.02,0.68,313,0.17,0.48,0.06,0.08,0.94,0.19,0.3199,1,NA,0.48,0.82,0.08,0.02,0.68,271400,1
348,2715,73574,143,206,396,89,26,0.52,0.73,0.39,0.03,0.83,280,0.9,0.76,0.19,0.41,0.86,0.7,0.637,4,NA,0.76,0.73,0.41,0.03,0.83,271500,4
349,2718,17952,217,118,189,30,0,0.41,0.85,0.21,0.03,0.61,239,0.03,0.34,0.02,0.07,0.86,0.03,0.2246,1,NA,0.34,0.85,0.07,0.03,0.61,271800,1
350,2801,221060,66,127,407,"2,305","1,727",0.84,0.13,0.54,0.09,0.91,113,1,1,0.98,0.68,0.68,0.95,0.8804,4,NA,1,0.13,0.68,0.09,0.91,280100,4
351,2804,30441,273,239,183,88,0,0.42,0.86,0.16,0.06,0.73,240,0.15,0.39,0.02,0.04,0.71,0.3,0.2665,1,NA,0.39,0.86,0.04,0.06,0.73,280400,1
352,2808,26815,239,115,79,6,0,0.33,0.77,0.13,0.02,0.78,165,0.09,0.05,0.14,0.02,0.94,0.43,0.2771,1,NA,0.05,0.77,0.02,0.02,0.78,280800,1
353,2809,5994,219,137,100,6,5,0.36,0.84,0.2,0.01,0.75,288,0,0.14,0.04,0.06,0.98,0.33,0.2579,1,NA,0.14,0.84,0.06,0.01,0.75,280900,1
354,2819,73658,76,231,511,"1,496","1,504",0.82,0.13,0.28,0.29,0.87,81,0.9,0.99,0.98,0.15,0.55,0.86,0.7365,4,NA,0.99,0.13,0.15,0.29,0.87,281900,4
355,2827,46439,723,258,207,149,83,0.4,0.53,0.43,0.52,0.72,354,0.49,0.29,0.36,0.5,0.38,0.28,0.383,2,NA,0.29,0.53,0.5,0.52,0.72,282700,2
356,2828,47213,372,127,185,279,179,0.56,0.31,0.37,0.6,0.78,177,0.51,0.84,0.65,0.35,0.31,0.43,0.5167,3,NA,0.84,0.31,0.35,0.6,0.78,282800,3
357,2831,54927,174,179,342,284,462,0.69,0.6,0.12,0.37,0.6,220,0.68,0.95,0.3,0.01,0.49,0.02,0.4117,2,NA,0.95,0.6,0.01,0.37,0.6,283100,2
358,2832,49523,294,219,194,205,134,0.54,0.44,0.45,0.15,0.59,224,0.56,0.79,0.4,0.53,0.64,0.02,0.4909,3,NA,0.79,0.44,0.53,0.15,0.59,283200,3
359,2838,77383,397,614,727,487,362,0.58,0.54,0.43,0.03,0.61,417,0.91,0.87,0.35,0.5,0.86,0.03,0.5857,3,NA,0.87,0.54,0.5,0.03,0.61,283800,3
360,2909,27853,919,705,720,50,19,0.4,0.78,0.29,0.03,0.68,"1,056",0.11,0.29,0.12,0.18,0.86,0.19,0.2917,1,NA,0.29,0.78,0.18,0.03,0.68,290900,1
361,2912,8760,379,470,230,27,6,0.39,0.85,0.23,0.03,0.62,605,0,0.23,0.02,0.09,0.86,0.05,0.2094,1,NA,0.23,0.85,0.09,0.03,0.62,291200,1
362,2916,25561,366,92,105,37,14,0.35,0.51,0.29,0.77,0.8,233,0.08,0.11,0.37,0.18,0.14,0.54,0.2354,1,NA,0.11,0.51,0.18,0.77,0.8,291600,1
363,2922,31404,688,418,309,190,57,0.42,0.75,0.28,0.03,0.64,676,0.17,0.39,0.17,0.15,0.86,0.09,0.3024,1,NA,0.39,0.75,0.15,0.03,0.64,292200,1
364,2924,47521,488,375,304,52,44,0.41,0.74,0.25,0.09,0.63,539,0.52,0.34,0.18,0.11,0.68,0.06,0.3142,1,NA,0.34,0.74,0.11,0.09,0.63,292400,1
365,2925,25154,896,537,684,218,49,0.43,0.76,0.37,0.04,0.66,856,0.07,0.43,0.15,0.35,0.8,0.15,0.3255,1,NA,0.43,0.76,0.35,0.04,0.66,292500,1
366,3005,37940,"1,214",342,177,28,31,0.3,0.35,0.28,0.79,0.83,632,0.27,0.01,0.55,0.15,0.1,0.7,0.3001,1,NA,0.01,0.35,0.15,0.79,0.83,300500,1
367,3006,40539,962,347,339,107,21,0.36,0.44,0.39,0.75,0.78,725,0.36,0.14,0.4,0.41,0.19,0.43,0.3202,1,NA,0.14,0.44,0.41,0.75,0.78,300600,1
368,3007,34457,"1,869",517,232,55,52,0.3,0.41,0.26,0.92,0.77,"1,270",0.22,0.01,0.44,0.13,0.01,0.38,0.1978,1,NA,0.01,0.41,0.13,0.92,0.77,300700,1
369,3008,25331,"1,740",385,233,45,17,0.29,0.42,0.28,0.91,0.72,"1,175",0.08,0,0.42,0.15,0.01,0.28,0.1579,1,NA,0,0.42,0.15,0.91,0.72,300800,1
370,3009,27633,"1,845",390,266,76,33,0.3,0.38,0.24,0.93,0.77,"1,361",0.11,0.01,0.49,0.1,0,0.38,0.1812,1,NA,0.01,0.38,0.1,0.93,0.77,300900,1
371,3011,37141,868,239,228,44,28,0.33,0.39,0.24,0.7,0.79,648,0.26,0.05,0.47,0.1,0.23,0.48,0.2631,1,NA,0.05,0.39,0.1,0.7,0.79,301100,1
372,3012,28962,"1,564",380,217,50,24,0.29,0.38,0.29,0.86,0.78,952,0.13,0,0.49,0.18,0.04,0.43,0.2119,1,NA,0,0.38,0.18,0.86,0.78,301200,1
373,3016,38899,"1,807",370,246,99,24,0.3,0.37,0.38,0.92,0.79,"1,025",0.31,0.01,0.52,0.39,0.01,0.48,0.2873,1,NA,0.01,0.37,0.39,0.92,0.79,301600,1
374,3017.01,41726,"1,629",457,292,56,43,0.31,0.35,0.32,0.93,0.82,843,0.38,0.03,0.55,0.24,0,0.63,0.3057,1,NA,0.03,0.35,0.24,0.93,0.82,301701,1
375,3017.02,43896,"1,327",511,200,106,22,0.32,0.3,0.39,0.93,0.78,971,0.43,0.03,0.69,0.41,0,0.43,0.333,2,NA,0.03,0.3,0.41,0.93,0.78,301702,2
376,3018.01,40651,"1,300",425,289,139,55,0.35,0.3,0.39,0.9,0.83,970,0.36,0.11,0.69,0.41,0.02,0.7,0.3837,2,NA,0.11,0.3,0.41,0.9,0.83,301801,2
377,3018.02,42657,"1,176",345,307,86,33,0.34,0.38,0.33,0.9,0.79,781,0.4,0.08,0.49,0.27,0.02,0.48,0.2909,1,NA,0.08,0.38,0.27,0.9,0.79,301802,1
378,3018.03,37604,"1,899",528,232,136,73,0.32,0.31,0.38,0.9,0.82,"1,276",0.27,0.03,0.65,0.39,0.02,0.63,0.3322,2,NA,0.03,0.31,0.39,0.9,0.82,301803,2
379,3102,52337,360,161,228,116,135,0.5,0.32,0.32,0.59,0.77,163,0.62,0.71,0.62,0.24,0.33,0.38,0.4816,3,NA,0.71,0.32,0.24,0.59,0.77,310200,3
380,3103,58771,294,262,116,212,211,0.56,0.41,0.28,0.62,0.77,243,0.73,0.84,0.44,0.15,0.29,0.38,0.4727,3,NA,0.84,0.41,0.15,0.62,0.77,310300,3
381,3104,40617,454,115,178,63,29,0.38,0.44,0.28,0.87,0.77,235,0.36,0.2,0.4,0.15,0.03,0.38,0.254,1,NA,0.2,0.44,0.15,0.87,0.77,310400,1
382,3105,39070,650,179,113,49,70,0.36,0.39,0.23,0.9,0.77,313,0.32,0.14,0.47,0.09,0.02,0.38,0.2346,1,NA,0.14,0.39,0.09,0.9,0.77,310500,1
383,3106,35618,"2,522",551,466,151,66,0.32,0.44,0.16,0.84,0.81,938,0.24,0.03,0.4,0.04,0.06,0.58,0.2251,1,NA,0.03,0.44,0.04,0.84,0.81,310600,1
384,3107,39007,551,257,149,46,66,0.38,0.36,0.18,0.85,0.79,314,0.31,0.2,0.54,0.04,0.05,0.48,0.2703,1,NA,0.2,0.36,0.04,0.85,0.79,310700,1
385,3108,33118,"1,705",366,488,84,52,0.33,0.39,0.22,0.91,0.78,943,0.19,0.05,0.47,0.08,0.01,0.43,0.2052,1,NA,0.05,0.39,0.08,0.91,0.78,310800,1
386,3109,28340,"1,729",680,425,85,50,0.33,0.37,0.25,0.86,0.78,"1,027",0.13,0.05,0.52,0.11,0.04,0.43,0.211,1,NA,0.05,0.37,0.11,0.86,0.78,310900,1
387,3201,142459,50,633,"1,581","2,803","3,692",0.82,0.17,0.38,0.2,0.89,357,0.98,0.99,0.93,0.39,0.6,0.91,0.8032,4,NA,0.99,0.17,0.39,0.2,0.89,320100,4
388,3204,186392,147,9,65,195,177,0.68,0.35,0.62,0.5,0.89,30,1,0.95,0.55,0.76,0.4,0.91,0.7633,4,NA,0.95,0.35,0.76,0.5,0.89,320400,4
389,3206,147211,248,312,694,791,770,0.71,0.21,0.42,0.21,0.9,101,0.99,0.97,0.89,0.47,0.6,0.94,0.8096,4,NA,0.97,0.21,0.47,0.21,0.9,320600,4
390,3301,143972,"1,574","1,408","3,092","4,299","3,692",0.7,0.29,0.49,0.11,0.85,978,0.99,0.96,0.71,0.6,0.66,0.78,0.782,4,NA,0.96,0.29,0.6,0.11,0.85,330100,4
391,3302,140346,448,203,363,664,826,0.7,0.24,0.64,0.12,0.83,463,0.98,0.96,0.83,0.78,0.65,0.7,0.8165,4,NA,0.96,0.24,0.78,0.12,0.83,330200,4
392,3403,64621,440,309,94,167,80,0.44,0.22,0.45,0.7,0.87,184,0.8,0.48,0.87,0.53,0.23,0.86,0.628,3,NA,0.48,0.22,0.53,0.7,0.87,340300,3
393,3404,27430,450,266,194,112,40,0.42,0.19,0.35,0.78,0.88,192,0.1,0.39,0.92,0.31,0.13,0.88,0.4539,2,NA,0.39,0.19,0.31,0.78,0.88,340400,2
394,3405,38499,559,263,205,146,60,0.42,0.31,0.22,0.16,0.87,86,0.29,0.39,0.65,0.08,0.63,0.86,0.4826,3,NA,0.39,0.31,0.08,0.16,0.87,340500,3
395,3406,14228,176,278,158,9,0,0.4,0.93,0.08,0.01,0.66,211,0.01,0.29,0,0.01,0.98,0.15,0.2399,1,NA,0.29,0.93,0.01,0.01,0.66,340600,1
396,3501,72126,64,243,638,327,278,0.67,0.43,0,0.19,0.73,59,0.88,0.95,0.41,0,0.61,0.3,0.525,3,NA,0.95,0.43,0,0.19,0.73,350100,3
397,3504,12079,61,47,27,5,5,0.39,0.84,0.01,0.02,0.72,67,0.01,0.23,0.04,0,0.94,0.28,0.2497,1,NA,0.23,0.84,0,0.02,0.72,350400,1
398,3510,55833,209,293,867,432,409,0.65,0.69,0.14,0.05,0.84,202,0.69,0.94,0.24,0.03,0.75,0.75,0.5644,3,NA,0.94,0.69,0.03,0.05,0.84,351000,3
399,3511,12630,391,335,234,58,9,0.4,0.94,0.04,0.03,0.54,559,0.01,0.29,0,0,0.86,0,0.1941,1,NA,0.29,0.94,0,0.03,0.54,351100,1
400,3514,25103,402,171,156,122,44,0.43,0.91,0.1,0.01,0.7,244,0.07,0.43,0.01,0.01,0.98,0.24,0.2909,1,NA,0.43,0.91,0.01,0.01,0.7,351400,1
401,3515,9194,117,22,20,2,2,0.29,0.82,0.27,0,0.61,54,0,0,0.06,0.14,1,0.03,0.207,1,NA,0,0.82,0.14,0,0.61,351500,1
402,3602,10170,341,265,170,14,11,0.37,0.86,0.07,0.05,0.53,378,0.01,0.16,0.02,0.01,0.75,0,0.1574,1,NA,0.16,0.86,0.01,0.05,0.53,360200,1
403,3801,103369,512,347,350,138,59,0.44,0.58,0.26,0.05,0.5,282,0.96,0.48,0.32,0.13,0.75,0,0.4392,2,NA,0.48,0.58,0.13,0.05,0.5,380100,2
404,3802,22307,593,284,383,96,19,0.41,0.61,0.14,0.04,0.48,167,0.05,0.34,0.3,0.03,0.8,0,0.2526,1,NA,0.34,0.61,0.03,0.04,0.48,380200,1
405,3805,15498,257,96,25,5,0,0.28,0.89,0.03,0.03,0.59,225,0.02,0,0.01,0,0.86,0.02,0.1508,1,NA,0,0.89,0,0.03,0.59,380500,1
